Vivado Simulator 2016.4
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_5 collision detected at time: 3668010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3693610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3719210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3744810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3770410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3796010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3821610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3847210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3872810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3898410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3924010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3949610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3975210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4000810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4026410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4052010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4077610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4103210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4128810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4154410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4180010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4205610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4231210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4256810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4282410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4308010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4333610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4359210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4384810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4410410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4436010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4461610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4487210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4512810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4538410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4564010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4589610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4615210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4640810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4666410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4692010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4717610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4743210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4768810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4794410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4820010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4845610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4871210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4896810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4922410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4948010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4973610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 4999210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 5024810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 5050410000, A write address: 10, B  read address: 10
